partition,path,class,machine,interpreter,soname,needed
product,/product/app/LatinIME/oat/arm/LatinIME.odex,ELF32,ARM,,package.odex,
product,/product/app/PhotoTable/oat/arm/PhotoTable.odex,ELF32,ARM,,package.odex,
product,/product/app/QuickSearchBox/oat/arm/QuickSearchBox.odex,ELF32,ARM,,package.odex,
product,/product/app/webview/oat/arm/webview.odex,ELF32,ARM,,package.odex,
product,/product/app/webview/webview.apk!/lib/armeabi-v7a/libchromium_android_linker.so,ELF32,ARM,,libchromium_android_linker.so,libdl.so;liblog.so;libc.so
product,/product/app/webview/webview.apk!/lib/armeabi-v7a/libcrashpad_handler_trampoline.so,ELF32,ARM,/system/bin/linker,,liblog.so;libdl.so;libc.so
product,/product/app/webview/webview.apk!/lib/armeabi-v7a/libwebviewchromium.so,ELF32,ARM,,libwebviewchromium.so,libdl.so;libm.so;libandroid.so;liblog.so;libjnigraphics.so;libc.so
product,/product/lib/libjni_latinime.so,ELF32,ARM,,libjni_latinime.so,libc.so;libm.so;libdl.so
product,/product/priv-app/OneTimeInitializer/oat/arm/OneTimeInitializer.odex,ELF32,ARM,,package.odex,
product,/product/priv-app/SettingsIntelligence/oat/arm/SettingsIntelligence.odex,ELF32,ARM,,package.odex,
system,/system/apex/com.android.adbd/bin/adbd,ELF32,ARM,/system/bin/linker,,libadbd_fs.so;liblog.so;libselinux.so;libbase.so;libadb_protos.so;libadbd_auth.so;libcrypto.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.adbd/lib/libadb_pairing_auth.so,ELF32,ARM,,libadb_pairing_auth.so,libcrypto.so;liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.adbd/lib/libadb_pairing_connection.so,ELF32,ARM,,libadb_pairing_connection.so,libcrypto.so;liblog.so;libadb_pairing_auth.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.adbd/lib/libadb_pairing_server.so,ELF32,ARM,,libadb_pairing_server.so,libcrypto.so;libcrypto_utils.so;libcutils.so;liblog.so;libadb_pairing_auth.so;libadb_pairing_connection.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.adbd/lib/libadb_protos.so,ELF32,ARM,,libadb_protos.so,libprotobuf-cpp-lite.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.adbd/lib/libadbconnection_client.so,ELF32,ARM,,libadbconnection_client.so,liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.appsearch/lib/libicing.so,ELF32,ARM,,libicing.so,libandroidicu.so;liblog.so;libprotobuf-cpp-full.so;libz.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/dalvikvm32,ELF32,ARM,/system/bin/linker,,liblog.so;libnativehelper.so;libsigchain.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/dex2oat32,ELF32,ARM,/system/bin/linker,,libartpalette.so;libbase.so;libcrypto.so;liblz4.so;liblog.so;libsigchain.so;libz.so;libart.so;libart-compiler.so;libart-dexlayout.so;libartbase.so;libdexfile.so;libprofile.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/dexdump,ELF32,ARM,/system/bin/linker,,libdexfile.so;libartbase.so;libbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/dexlist,ELF32,ARM,/system/bin/linker,,libdexfile.so;libartbase.so;libbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/dexoptanalyzer,ELF32,ARM,/system/bin/linker,,libbase.so;libart.so;libartbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/oatdump,ELF32,ARM,/system/bin/linker,,libart.so;libart-compiler.so;libart-dexlayout.so;libart-disassembler.so;libartbase.so;libbase.so;libdexfile.so;libprofile.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/odrefresh,ELF32,ARM,/system/bin/linker,,libartpalette.so;libbase.so;libdexfile.so;liblog.so;libart.so;libartbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/bin/profman,ELF32,ARM,/system/bin/linker,,libbase.so;libartbase.so;libdexfile.so;libprofile.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/javalib/arm/boot-apache-xml.oat,ELF32,ARM,,boot-apache-xml.oat,
system,/system/apex/com.android.art/javalib/arm/boot-bouncycastle.oat,ELF32,ARM,,boot-bouncycastle.oat,
system,/system/apex/com.android.art/javalib/arm/boot-core-libart.oat,ELF32,ARM,,boot-core-libart.oat,
system,/system/apex/com.android.art/javalib/arm/boot-okhttp.oat,ELF32,ARM,,boot-okhttp.oat,
system,/system/apex/com.android.art/javalib/arm/boot.oat,ELF32,ARM,,boot.oat,
system,/system/apex/com.android.art/lib/libadbconnection.so,ELF32,ARM,,libadbconnection.so,libbase.so;libadbconnection_client.so;libart.so;libartbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libandroidio.so,ELF32,ARM,,libandroidio.so,liblog.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libart-compiler.so,ELF32,ARM,,libart-compiler.so,libbase.so;liblzma.so;libart.so;libartbase.so;libartpalette.so;libprofile.so;libdexfile.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libart-dexlayout.so,ELF32,ARM,,libart-dexlayout.so,libz.so;libartpalette.so;libbase.so;libartbase.so;libdexfile.so;libprofile.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libart-disassembler.so,ELF32,ARM,,libart-disassembler.so,libbase.so;libc++.so;libc.so;libm.so;libdl.so
